country,year,hdicode,region
Afghanistan,2022,Low,Sub-Saharan Africa
Albania,2022,High,Europe and Central Asia
Algeria,2022,High,Arab States
Andorra,2022,Very High,Others
Angola,2022,Medium,Sub-Saharan Africa
Antigua and Barbuda,2022,Very High,Latin America and the Caribbean
Argentina,2022,Very High,Latin America and the Caribbean
Armenia,2022,High,Europe and Central Asia
Australia,2022,Very High,Others
Austria,2022,Very High,Others
Azerbaijan,2022,High,Europe and Central Asia
Bahamas,2022,Very High,Latin America and the Caribbean
Bahrain,2022,Very High,Arab States
Bangladesh,2022,Medium,Sub-Saharan Africa
Barbados,2022,Very High,Latin America and the Caribbean
Belarus,2022,Very High,Europe and Central Asia
Belgium,2022,Very High,Others
Belize,2022,High,Latin America and the Caribbean
Benin,2022,Low,Sub-Saharan Africa
Bhutan,2022,Medium,Sub-Saharan Africa
Bolivia (Plurinational State of),2022,Medium,Latin America and the Caribbean
Bosnia and Herzegovina,2022,High,Europe and Central Asia
Botswana,2022,High,Sub-Saharan Africa
Brazil,2022,High,Latin America and the Caribbean
Brunei Darussalam,2022,Very High,East Asia and the Pacific
Bulgaria,2022,High,Others
Burkina Faso,2022,Low,Sub-Saharan Africa
Burundi,2022,Low,Sub-Saharan Africa
Cabo Verde,2022,Medium,Sub-Saharan Africa
Cambodia,2022,Medium,East Asia and the Pacific
Cameroon,2022,Medium,Sub-Saharan Africa
Canada,2022,Very High,Others
Central African Republic,2022,Low,Sub-Saharan Africa
Chad,2022,Low,Sub-Saharan Africa
Chile,2022,Very High,Latin America and the Caribbean
China,2022,High,East Asia and the Pacific
Colombia,2022,High,Latin America and the Caribbean
Comoros,2022,Medium,Sub-Saharan Africa
Congo,2022,Medium,Sub-Saharan Africa
Congo (Democratic Republic of the),2022,Low,Sub-Saharan Africa
Costa Rica,2022,Very High,Latin America and the Caribbean
Côte d'Ivoire,2022,Low,Sub-Saharan Africa
Croatia,2022,Very High,Others
Cuba,2022,High,Latin America and the Caribbean
Cyprus,2022,Very High,Others
Czechia,2022,Very High,Others
Denmark,2022,Very High,Others
Djibouti,2022,Low,Arab States
Dominica,2022,High,Latin America and the Caribbean
Dominican Republic,2022,High,Latin America and the Caribbean
Ecuador,2022,High,Latin America and the Caribbean
Egypt,2022,High,Arab States
El Salvador,2022,Medium,Latin America and the Caribbean
Equatorial Guinea,2022,Medium,Sub-Saharan Africa
Eritrea,2022,Low,Sub-Saharan Africa
Estonia,2022,Very High,Others
Eswatini (Kingdom of),2022,Medium,Sub-Saharan Africa
Ethiopia,2022,Low,Sub-Saharan Africa
Fiji,2022,High,East Asia and the Pacific
Finland,2022,Very High,Others
France,2022,Very High,Others
Gabon,2022,Medium,Sub-Saharan Africa
Gambia,2022,Low,Sub-Saharan Africa
Georgia,2022,Very High,Europe and Central Asia
Germany,2022,Very High,Others
Ghana,2022,Medium,Sub-Saharan Africa
Greece,2022,Very High,Others
Grenada,2022,High,Latin America and the Caribbean
Guatemala,2022,Medium,Latin America and the Caribbean
Guinea,2022,Low,Sub-Saharan Africa
Guinea-Bissau,2022,Low,Sub-Saharan Africa
Guyana,2022,High,Latin America and the Caribbean
Haiti,2022,Medium,Latin America and the Caribbean
Honduras,2022,Medium,Latin America and the Caribbean
"Hong Kong, China (SAR)",2022,Very High,Others
Hungary,2022,Very High,Others
Iceland,2022,Very High,Others
India,2022,Medium,Sub-Saharan Africa
Indonesia,2022,High,East Asia and the Pacific
Iran (Islamic Republic of),2022,High,Sub-Saharan Africa
Iraq,2022,Medium,Arab States
Ireland,2022,Very High,Others
Israel,2022,Very High,Others
Italy,2022,Very High,Others
Jamaica,2022,High,Latin America and the Caribbean
Japan,2022,Very High,Others
Jordan,2022,High,Arab States
Kazakhstan,2022,Very High,Europe and Central Asia
Kenya,2022,Medium,Sub-Saharan Africa
Kiribati,2022,Medium,East Asia and the Pacific
Korea (Republic of),2022,Very High,Others
Kuwait,2022,Very High,Arab States
Kyrgyzstan,2022,High,Europe and Central Asia
Lao People's Democratic Republic,2022,Medium,East Asia and the Pacific
Latvia,2022,Very High,Others
Lebanon,2022,High,Arab States
Lesotho,2022,Low,Sub-Saharan Africa
Liberia,2022,Low,Sub-Saharan Africa
Libya,2022,High,Arab States
Liechtenstein,2022,Very High,Others
Lithuania,2022,Very High,Others
Luxembourg,2022,Very High,Others
Madagascar,2022,Low,Sub-Saharan Africa
Malawi,2022,Low,Sub-Saharan Africa
Malaysia,2022,Very High,East Asia and the Pacific
Maldives,2022,High,Sub-Saharan Africa
Mali,2022,Low,Sub-Saharan Africa
Malta,2022,Very High,Others
Marshall Islands,2022,High,East Asia and the Pacific
Mauritania,2022,Low,Sub-Saharan Africa
Mauritius,2022,High,Sub-Saharan Africa
Mexico,2022,High,Latin America and the Caribbean
Micronesia (Federated States of),2022,Medium,East Asia and the Pacific
Moldova (Republic of),2022,High,Europe and Central Asia
Mongolia,2022,High,East Asia and the Pacific
Montenegro,2022,Very High,Europe and Central Asia
Morocco,2022,Medium,Arab States
Mozambique,2022,Low,Sub-Saharan Africa
Myanmar,2022,Medium,East Asia and the Pacific
Namibia,2022,Medium,Sub-Saharan Africa
Nauru,2022,Medium,East Asia and the Pacific
Nepal,2022,Medium,Sub-Saharan Africa
Netherlands,2022,Very High,Others
New Zealand,2022,Very High,Others
Nicaragua,2022,Medium,Latin America and the Caribbean
Niger,2022,Low,Sub-Saharan Africa
Nigeria,2022,Low,Sub-Saharan Africa
North Macedonia,2022,High,Europe and Central Asia
Norway,2022,Very High,Others
Oman,2022,Very High,Arab States
Pakistan,2022,Low,Sub-Saharan Africa
Palau,2022,High,East Asia and the Pacific
"Palestine, State of",2022,High,Arab States
Panama,2022,Very High,Latin America and the Caribbean
Papua New Guinea,2022,Medium,East Asia and the Pacific
Paraguay,2022,High,Latin America and the Caribbean
Peru,2022,High,Latin America and the Caribbean
Philippines,2022,High,East Asia and the Pacific
Poland,2022,Very High,Others
Portugal,2022,Very High,Others
Qatar,2022,Very High,Arab States
Romania,2022,Very High,Others
Russian Federation,2022,Very High,Others
Rwanda,2022,Low,Sub-Saharan Africa
Saint Kitts and Nevis,2022,Very High,Latin America and the Caribbean
Saint Lucia,2022,High,Latin America and the Caribbean
Saint Vincent and the Grenadines,2022,High,Latin America and the Caribbean
